ID,Pozo_DGA,Pozo,E,N,Tipo,Operador,Z,Profundidad,Info SNGM - Collar
214,Sector Puquio Santa Elena p101,SNGM-PTA-0497,463615,7733297,Monitoreo,NN,1283.799,24.84,SNGM
215,Parcela Los Troncos p102,SNGM-PTA-0498,464808,7734390,Monitoreo,NN,1311.352,33.53,SNGM
216,DGA 20,SNGM-PTA-0505,463579,7731783,Monitoreo,NN,1271,44,Collar
217,DGA 34,SNGM-PTA-0506,462744,7732610,Monitoreo,NN,1247.364,87.5,SNGM
218,DGA 35,SNGM-PTA-0507,462039,7732340,Monitoreo,NN,1191.146,87.5,SNGM
219,DGA 54,SNGM-PTA-0508,466755,7734260,Monitoreo,NN,1385,27.49,Collar
220,DGA 69,SNGM-PTA-0509,467947,7735402,Monitoreo,NN,1472,80,Collar
221,DGA 99,SNGM-PTA-0512,464039,7732790,Monitoreo,NN,1282,111,Collar
222,DGA 102,SNGM-PTA-0513,467829,7735898,Monitoreo,NN,1460.74,44,SNGM
223,DGA 338,SNGM-PTA-0517,463014.32,7732809.58,Monitoreo,NN,1263.91,25,SNGM
224,DGA 381,SNGM-PTA-0518,455314.87,7720955.74,Monitoreo,NN,1084.806,194,SNGM
225,DGA 509,SNGM-PTA-0519,463491,7732764,Monitoreo,NN,1271,25,Collar
226,DGA 526,SNGM-PTA-0520,464934,7732723,Monitoreo,NN,1299.386,45.1,SNGM
227,DGA 527,SNGM-PTA-0521,465320,7733500,Monitoreo,NN,1317,30,Collar
228,DGA 567,SNGM-PTA-0523,463241,7732807,Monitoreo,NN,1273,25.4,Collar
229,DGA 606,SNGM-PTA-0524,466450,7734566,Monitoreo,NN,1367,22.2,Collar
230,DGA 609,SNGM-PTA-0525,465780,7734343,Monitoreo,NN,1338,31,Collar
231,DGA 629,SNGM-PTA-0526,464602,7733000,Monitoreo,NN,1303,31.1,Collar
232,DGA 654,SNGM-PTA-0528,466010,7735176,Monitoreo,NN,1357,34.8,Collar
233,DGA 680,SNGM-PTA-0529,467389,7736677,Monitoreo,NN,1451,53.3,Collar
