ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
175;La Huayca 2410-1;SNGM-PTA-0409;442857.14;7742141.75;Monitoreo;No Identificado;985.947;Sin informacion;SNGM
176;La Tirana 30-10;SNGM-PTA-0411;432409.19;7748459.13;Monitoreo;No Identificado;1001.268;Sin informacion;SNGM
177;La Tirana 30-11;SNGM-PTA-0412;432230.12;7748015.07;Monitoreo;No Identificado;997.233;Sin informacion;SNGM
178;La Tirana 30-12;SNGM-PTA-0413;429144.65;7751507.89;Monitoreo;No Identificado;1007.353;Sin informacion;SNGM
179;La Tirana 30-13;SNGM-PTA-0414;429151.32;7751502.28;Monitoreo;No Identificado;1006.963;Sin informacion;SNGM
180;Dupliza 30-4;SNGM-PTA-0415;435921.3;7767052;Monitoreo;No Identificado;1057.561;Sin informacion;SNGM
181;Pozo Almonte 30-6;SNGM-PTA-0416;419408.3;7756986.41;Monitoreo;No Identificado;1021.417;Sin informacion;SNGM
182;La Tirana 30-7;SNGM-PTA-0417;429386.19;7751202.45;Monitoreo;No Identificado;1002.963;Sin informacion;SNGM
183;La Tirana 30-9;SNGM-PTA-0418;432273.36;7748270.94;Monitoreo;No Identificado;998.863;Sin informacion;SNGM
184;Vina Vieja p001;SNGM-PTA-0420;466475;7735019;Monitoreo;No Identificado;1375.289;25;SNGM
185;San Martin p007;SNGM-PTA-0426;466299;7733740;Monitoreo;No Identificado;1344.521;Sin informacion;SNGM
186;San Martin p008;SNGM-PTA-0427;466323;7733853;Monitoreo;No Identificado;1347.106;Sin informacion;SNGM
187;San Martin p010;SNGM-PTA-0428;466673;7733429;Monitoreo;No Identificado;1362.019;46.5;SNGM
188;San Martin p012;SNGM-PTA-0430;466318;7733284;Monitoreo;No Identificado;1338.727;Sin informacion;SNGM
189;San Martin p015;SNGM-PTA-0431;465835;7732988;Monitoreo;No Identificado;1320.263;37.25;SNGM
190;San Martin p016;SNGM-PTA-0432;466024;7733048;Monitoreo;No Identificado;1324.297;31.3;SNGM
191;San Martin p017;SNGM-PTA-0433;465973;7733123;Monitoreo;No Identificado;1323.571;30.59;SNGM
192;San Martin p018;SNGM-PTA-0434;465832;7733242;Monitoreo;No Identificado;1319.719;27.33;SNGM
193;Concova p020;SNGM-PTA-0436;467178;7734564;Monitoreo;No Identificado;1401.656;22.9;SNGM
194;Concova p021;SNGM-PTA-0437;467281;7734537;Monitoreo;No Identificado;1416.848;23.7;SNGM
195;Victor Alvarado p025;SNGM-PTA-0440;467806;7735908;Monitoreo;No Identificado;1459.129;37.35;SNGM
196;San Basilio p029;SNGM-PTA-0443;465869;7734735;Monitoreo;No Identificado;1339.078;35.87;SNGM
197;Jaime Uribe p035;SNGM-PTA-0447;465260;7733375;Monitoreo;No Identificado;1315;32;Collar
198;Nancy Alegria p037;SNGM-PTA-0449;465602;7733698;Monitoreo;No Identificado;1321.967;17.2;SNGM
199;Parcela La Labranza p051;SNGM-PTA-0450;467037;7734886;Monitoreo;No Identificado;1400.158;17.03;SNGM
200;Sondaje las çnimas p049;SNGM-PTA-0456;466227;7734140;Monitoreo;No Identificado;1336.056;3.6;SNGM
201;Puquio Comina p059;SNGM-PTA-0461;462926;7733216;Monitoreo;No Identificado;1270.208;16.5;SNGM
202;Puquio Comina p060;SNGM-PTA-0462;462875;7733095;Monitoreo;No Identificado;1269.021;24.21;SNGM
203;Lo Vega p066;SNGM-PTA-0466;461173;7732632;Monitoreo;No Identificado;1152.274;24;SNGM
204;Estrella Del Desierto p067;SNGM-PTA-0467;461118;7732115;Monitoreo;No Identificado;1151.759;38;SNGM
205;Estrella del Norte p069;SNGM-PTA-0469;460999;7732082;Monitoreo;No Identificado;1144.681;39.94;SNGM
206;Parcela Hijuela p070;SNGM-PTA-0470;463746;7730937;Monitoreo;No Identificado;1215.572;20;SNGM
207;Pullalla Benito p073;SNGM-PTA-0472;463354;7730854;Monitoreo;No Identificado;1234.923;38;SNGM
208;Terreno Fiscal p078;SNGM-PTA-0475;461196;7731552;Monitoreo;No Identificado;1143;184;Collar
209;Predio Valle Quisma p091;SNGM-PTA-0488;464519;7731366;Monitoreo;No Identificado;1234.513;26;SNGM
210;Chintaguay p094;SNGM-PTA-0491;466536;7731342;Monitoreo;No Identificado;1292.426;Sin informacion;SNGM
211;Sector Puquio Santa Elena p98;SNGM-PTA-0494;463733;7733133;Monitoreo;No Identificado;1281.928;29.48;SNGM
212;Sector Puquio Santa Elena p99;SNGM-PTA-0495;463919;7733255;Monitoreo;No Identificado;1288.253;28.73;SNGM
213;Sector Puquio Santa Elena p100;SNGM-PTA-0496;463797;7733422;Monitoreo;No Identificado;1286.047;29;SNGM
214;Sector Puquio Santa Elena p101;SNGM-PTA-0497;463615;7733297;Monitoreo;No Identificado;1283.799;24.84;SNGM
215;Parcela Los Troncos p102;SNGM-PTA-0498;464808;7734390;Monitoreo;No Identificado;1311.352;33.53;SNGM
216;DGA 20;SNGM-PTA-0505;463579;7731783;Monitoreo;No Identificado;1271;44;Collar
217;DGA 34;SNGM-PTA-0506;462744;7732610;Monitoreo;No Identificado;1247.364;87.5;SNGM
218;DGA 35;SNGM-PTA-0507;462039;7732340;Monitoreo;No Identificado;1191.146;87.5;SNGM
219;DGA 54;SNGM-PTA-0508;466755;7734260;Monitoreo;No Identificado;1385;27.49;Collar
220;DGA 69;SNGM-PTA-0509;467947;7735402;Monitoreo;No Identificado;1472;80;Collar
221;DGA 99;SNGM-PTA-0512;464039;7732790;Monitoreo;No Identificado;1282;111;Collar
222;DGA 102;SNGM-PTA-0513;467829;7735898;Monitoreo;No Identificado;1460.74;44;SNGM
223;DGA 338;SNGM-PTA-0517;463014.32;7732809.58;Monitoreo;No Identificado;1263.91;25;SNGM
224;DGA 381;SNGM-PTA-0518;455314.87;7720955.74;Monitoreo;No Identificado;1084.806;194;SNGM
225;DGA 509;SNGM-PTA-0519;463491;7732764;Monitoreo;No Identificado;1271;25;Collar
226;DGA 526;SNGM-PTA-0520;464934;7732723;Monitoreo;No Identificado;1299.386;45.1;SNGM
227;DGA 527;SNGM-PTA-0521;465320;7733500;Monitoreo;No Identificado;1317;30;Collar
