ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
193,Concova p020,SNGM-PTA-0436,467178,7734564,Monitoreo,DGA
194,Concova p021,SNGM-PTA-0437,467281,7734537,Monitoreo,Aguas Nuevas
195,Víctor Alvarado p025,SNGM-PTA-0440,467806,7735908,Monitoreo,DGA
196,San Basilio p029,SNGM-PTA-0443,465869,7734735,Monitoreo,Aguas Nuevas
197,Jaime Uribe p035,SNGM-PTA-0447,465260,7733375,Monitoreo,DGA
198,Nancy Alegría p037,SNGM-PTA-0449,465602,7733698,Monitoreo,Aguas Nuevas
199,Parcela La Labranza p051,SNGM-PTA-0450,467037,7734886,Monitoreo,DGA
200,Sondaje las Ánimas p049,SNGM-PTA-0456,466227,7734140,Monitoreo,Aguas Nuevas
201,Puquio Comiña p059,SNGM-PTA-0461,462926,7733216,Monitoreo,DGA
202,Puquio Comiña p060,SNGM-PTA-0462,462875,7733095,Monitoreo,Aguas Nuevas
203,Lo Vega p066,SNGM-PTA-0466,461173,7732632,Monitoreo,DGA
204,Estrella Del Desierto p067,SNGM-PTA-0467,461118,7732115,Monitoreo,Aguas Nuevas
205,Estrella del Norte p069,SNGM-PTA-0469,460999,7732082,Monitoreo,DGA
206,Parcela Hijuela p070,SNGM-PTA-0470,463746,7730937,Monitoreo,Aguas Nuevas
207,Pullalla Benito p073,SNGM-PTA-0472,463354,7730854,Monitoreo,DGA
208,Terreno Fiscal p078,SNGM-PTA-0475,461196,7731552,Monitoreo,Aguas Nuevas
209,Predio Valle Quisma p091,SNGM-PTA-0488,464519,7731366,Monitoreo,DGA
210,Chintaguay p094,SNGM-PTA-0491,466536,7731342,Monitoreo,Aguas Nuevas
211,Sector Puquio Santa Elena p98,SNGM-PTA-0494,463733,7733133,Monitoreo,DGA
212,Sector Puquio Santa Elena p99,SNGM-PTA-0495,463919,7733255,Monitoreo,Aguas Nuevas
213,Sector Puquio Santa Elena p100,SNGM-PTA-0496,463797,7733422,Monitoreo,DGA
214,Sector Puquio Santa Elena p101,SNGM-PTA-0497,463615,7733297,Monitoreo,Aguas Nuevas
215,Parcela Los Troncos p102,SNGM-PTA-0498,464808,7734390,Monitoreo,DGA
216,DGA 20,SNGM-PTA-0505,463579,7731783,Monitoreo,Aguas Nuevas
217,DGA 34,SNGM-PTA-0506,462744,7732610,Monitoreo,DGA
218,DGA 35,SNGM-PTA-0507,462039,7732340,Monitoreo,Aguas Nuevas
219,DGA 54,SNGM-PTA-0508,466755,7734260,Monitoreo,DGA
220,DGA 69,SNGM-PTA-0509,467947,7735402,Monitoreo,Aguas Nuevas
221,DGA 99,SNGM-PTA-0512,464039,7732790,Monitoreo,DGA
222,DGA 102,SNGM-PTA-0513,467829,7735898,Monitoreo,Aguas Nuevas
223,DGA 338,SNGM-PTA-0517,463014.32,7732809.58,Monitoreo,DGA
224,DGA 381,SNGM-PTA-0518,455314.87,7720955.74,Monitoreo,Aguas Nuevas
225,DGA 509,SNGM-PTA-0519,463491,7732764,Monitoreo,DGA
226,DGA 526,SNGM-PTA-0520,464934,7732723,Monitoreo,Aguas Nuevas
227,DGA 527,SNGM-PTA-0521,465320,7733500,Monitoreo,DGA
228,DGA 567,SNGM-PTA-0523,463241,7732807,Monitoreo,Aguas Nuevas
229,DGA 606,SNGM-PTA-0524,466450,7734566,Monitoreo,DGA
230,DGA 609,SNGM-PTA-0525,465780,7734343,Monitoreo,Aguas Nuevas
231,DGA 629,SNGM-PTA-0526,464602,7733000,Monitoreo,DGA
232,DGA 654,SNGM-PTA-0528,466010,7735176,Monitoreo,Aguas Nuevas
233,DGA 680,SNGM-PTA-0529,467389,7736677,Monitoreo,DGA
234,El Carmelo 2 D-60,SNGM-PTA-0537,435129.29,7755580.66,Monitoreo,Aguas Nuevas
235,Esmeralda 14,SNGM-PTA-0538,460279.48,7735015.73,Monitoreo,DGA
236,Esmeralda 15,SNGM-PTA-0539,460373.48,7735005.74,Monitoreo,Aguas Nuevas
237,S. Pintados D-66,SNGM-PTA-0543,422090.26,7753912.58,Monitoreo,DGA
238,Mendieta A-9,SNGM-PTA-0545,435018.36,7743587.62,Monitoreo,Aguas Nuevas
